,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO,weighted_CHI,rank_CHI,weight_CHI,weighted_ZIPF,rank_ZIPF,weight_ZIPF,weighted_CLASSIFIER,rank_CLASSIFIER,weight_CLASSIFIER,weighted_IRPR,rank_IRPR,weight_IRPR,weighted_FID,rank_FID,weight_FID,weighted_PR,rank_PR,weight_PR,weighted_DC,rank_DC,weight_DC,weighted_MAUVE,rank_MAUVE,weight_MAUVE,weighted_TRADITIONAL,rank_TRADITIONAL,weight_TRADITIONAL,weighted_ZERO,rank_ZERO,weight_ZERO,final_score,dataset
10,realToReal2,1.0,0.0150085775829872,0.3473684210526315,0.2554691,0.3593077766567258,0.0251448135475149,0.0130502613275255,0.0284311563161123,0.1645208244016438,0.079313011668063,0.05797149797033825,10,0.05797149797033825,0.0016983443408667247,2,0.11315824777371729,0.026539526295544315,9,0.07640166660838517,0.02713927982624891,5,0.1062331210555363,0.03567898639395559,8,0.09929923233485273,0.0026226590860305055,6,0.10430218864318072,0.0013313178166734936,7,0.10201464807953611,0.003194620047430293,3,0.1123633527919461,0.018317473519590784,4,0.11133832805792679,0.009273096227607427,1,0.11691771668458063,0.18376680152428632,banking77
11,realToReal3,0.9995536802134816,0.0132923115117754,0.4905071132367448,0.26218453,0.3680746855481525,0.0470547492033224,0.0067165803768427,0.0376323129955573,0.1525457943101054,0.0810379945897956,0.05794562414373997,10,0.05797149797033825,0.0015041346795349152,2,0.11315824777371729,0.03747556093455521,9,0.07640166660838517,0.02785268091437889,5,0.1062331210555363,0.03654953371682385,8,0.09929923233485273,0.00490791332796249,6,0.10430218864318072,0.0006851895834415261,7,0.10201464807953611,0.004228492861496742,3,0.1123633527919461,0.016984193690755538,4,0.11133832805792679,0.0094747772921363,1,0.11691771668458063,0.19760810114482544,banking77
12,LDA,0.0,0.0149301064180165,0.8216216216216217,0.35477313,0.7082065838112035,0.1597884135291847,0.0345251723095637,0.2857634287128318,0.501198387200512,0.5323711275706107,0.0,10,0.0,0.0015405251962114003,8,0.10318246589002295,0.08627179986644282,7,0.10500186167955211,0.039668518280258094,5,0.11181376188286327,0.06575695238742316,9,0.09284995916523829,0.018175006723134757,4,0.11374420911823603,0.004149616776274239,2,0.12019105188143459,0.03166026599894752,6,0.11079187473902907,0.057943904616301715,3,0.11561071642698718,0.06751216499181206,1,0.1268140992166365,0.3726787548368058,medicalAbstracts
13,MATAVE,0.0,0.0041010803997909,0.9056024350141998,0.3609132,0.9729054781493628,0.5011613424593028,0.1978618070008534,0.9554496192805032,0.533051894744376,0.4943589829188649,0.0,10,0.0,0.0004231595884636662,8,0.10318246589002295,0.09508994161802659,7,0.10500186167955211,0.04035506260518221,5,0.11181376188286327,0.09033423391780497,9,0.09284995916523829,0.05700420053866684,4,0.11374420911823603,0.02378121871059397,2,0.12019105188143459,0.10585605453877853,6,0.11079187473902907,0.06162651144416027,3,0.11561071642698718,0.06269168910850843,1,0.1268140992166365,0.5371620720701855,medicalAbstracts
14,combinedTopicModel,0.0,0.0043457139231009,0.8374630010211073,0.3543385,0.6969288193380496,0.1631317570136493,0.0327446424831617,0.189517930441989,0.5525855525523266,0.5197470391785707,0.0,10,0.0,0.00044840147863815636,8,0.10318246589002295,0.08793517419496091,7,0.10500186167955211,0.03961992066493095,5,0.11181376188286327,0.06470981241661564,9,0.09284995916523829,0.018555292683585793,4,0.11374420911823603,0.003935613023532715,2,0.12019105188143459,0.020997046810328872,6,0.11079187473902907,0.06388481161777705,3,0.11561071642698718,0.06591125259394431,1,0.1268140992166365,0.3659973254843144,medicalAbstracts
15,realToReal,1.0,0.0065666383656836,0.452991452991453,0.351541,0.6165682889455391,0.0383766417793763,0.0228099255540103,0.0139749408078069,0.1609988816791678,0.1057746934447694,0.0,10,0.0,0.0006775619391792641,8,0.10318246589002295,0.047564945889027876,7,0.10500186167955211,0.039307121666063635,5,0.11181376188286327,0.05724834045117415,9,0.09284995916523829,0.004365120767809012,4,0.11374420911823603,0.0027415489456737124,2,0.12019105188143459,0.0015483098914638878,6,0.11079187473902907,0.01861319605487233,3,0.11561071642698718,0.013413722469114297,1,0.1268140992166365,0.18547986807437816,medicalAbstracts
16,realToReal2,1.0,0.0040543234818688,0.4554466230936819,0.3525451,0.6115456467024286,0.0201867368948192,0.028160760137642,0.0101338401594754,0.2069962517790549,0.1105977063407449,0.0,10,0.0,0.00041833509437504655,8,0.10318246589002295,0.04782274332050189,7,0.10500186167955211,0.03941939386437022,5,0.11181376188286327,0.05678198832399974,9,0.09284995916523829,0.002296124422779126,4,0.11374420911823603,0.003384671382723964,2,0.12019105188143459,0.0011227471495739408,6,0.11079187473902907,0.023930984965877557,3,0.11561071642698718,0.014025348505027652,1,0.1268140992166365,0.18920233702922915,medicalAbstracts
17,realToReal3,1.0,0.0110870204829557,0.4491634491634491,0.35677722,0.629965163517333,0.0285679818347474,0.03531722388752,0.0211846770093825,0.1883157743260498,0.1137017528886442,0.0,10,0.0,0.0011439861128045622,8,0.10318246589002295,0.047162998360571015,7,0.10500186167955211,0.039892603122309925,5,0.11181376188286327,0.05849223970810703,9,0.09284995916523829,0.0032494424998974762,4,0.11374420911823603,0.004244814288573157,2,0.12019105188143459,0.002347090081610295,6,0.11079187473902907,0.021771321584337457,3,0.11561071642698718,0.014418985371926011,1,0.1268140992166365,0.19272348113013693,medicalAbstracts
18,LDA,0.0,0.2751229006528846,1.0,0.26876602,0.5288719840153046,0.9716283900450724,0.9454004645929992,0.9947163339438032,0.8317069620057179,0.2911717418908826,0.0,10,0.0,0.03322566960831753,1,0.12076664475938154,0.09474486993633534,8,0.09474486993633534,0.0317830118792977,4,0.11825532066627209,0.061724661260741824,5,0.11671002270174256,0.11329279339751251,6,0.1166009500733681,0.07513210677619937,9,0.07947119722280252,0.11884880950850885,3,0.1194801024703222,0.09520326685273654,7,0.11446731986365413,0.034796063310556444,2,0.11950357230612155,0.6587512525302059,dementiaAudio
19,MATAVE,0.0,0.4082894585381897,1.0,0.2986938,0.6786678810090411,0.9187913361079244,0.985176936736714,0.9918641839076114,0.7426084329605752,0.2483491388237032,0.0,10,0.0,0.049307747998281796,1,0.12076664475938154,0.09474486993633534,8,0.09474486993633534,0.03532213110002734,4,0.11825532066627209,0.07920734379950871,5,0.11671002270174256,0.10713194270936326,6,0.1166009500733681,0.07829319063875984,9,0.07947119722280252,0.11850803432992392,3,0.1194801024703222,0.08500439702914513,7,0.11446731986365413,0.029678609268581436,2,0.11950357230612155,0.6771982668099268,dementiaAudio
