,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO,weighted_CHI,rank_CHI,weight_CHI,weighted_ZIPF,rank_ZIPF,weight_ZIPF,weighted_CLASSIFIER,rank_CLASSIFIER,weight_CLASSIFIER,weighted_IRPR,rank_IRPR,weight_IRPR,weighted_FID,rank_FID,weight_FID,weighted_PR,rank_PR,weight_PR,weighted_DC,rank_DC,weight_DC,weighted_MAUVE,rank_MAUVE,weight_MAUVE,weighted_TRADITIONAL,rank_TRADITIONAL,weight_TRADITIONAL,weighted_ZERO,rank_ZERO,weight_ZERO,Framework Score
0,allTopicModels,0.0,0.1840439081644703,0.967032967032967,0.3140019,0.7593356242522701,0.6982509141003446,0.9328794459591186,0.9707040995149956,0.5108236054308806,0.2460502603254726,0.0,10,0.05491946581142717,0.018352209250229935,7,0.09971647219004683,0.0874961572423531,9,0.09047898078470605,0.034768975196009064,3,0.11072855035593435,0.08119264602306656,6,0.10692590131408394,0.07846807886494529,1,0.11237805390637665,0.08860986506126216,8,0.09498533325510239,0.10592531356430664,4,0.10912214506689666,0.05560093951119845,5,0.10884567377088802,0.027532882293403827,2,0.11189942354453775,0.577947067006775
1,LDA,0.0,0.1721236639395897,0.9519938056523422,0.3065207,0.7262236729378321,0.6459941710477823,0.915668660364417,0.9737490734685578,0.5042912296213387,0.2621120288159647,0.0,10,0.05491946581142717,0.017163564548481062,7,0.09971647219004683,0.08613542924877746,9,0.09047898078470605,0.03394059276508624,3,0.11072855035593435,0.0776521207845022,6,0.10692590131408394,0.07259556777721278,1,0.11237805390637665,0.08697509285596731,8,0.09498533325510239,0.10625758765379217,4,0.10912214506689666,0.05488991866488421,5,0.10884567377088802,0.029330184928595713,2,0.11189942354453775,0.5649400592272992
2,MATAVE,0.0,0.1977741963715708,0.983739837398374,0.3338604,0.8377248677760085,0.7165169006258069,0.941933133398184,0.98479678671559,0.5182100168836725,0.2037548273531683,0.0,10,0.05491946581142717,0.019721345152394598,7,0.09971647219004683,0.08900777784511733,9,0.09047898078470605,0.03696787811325238,3,0.11072855035593435,0.08957448654017151,6,0.10692590131408394,0.08052077488335684,1,0.11237805390637665,0.08946983257984932,8,0.09498533325510239,0.1074631378213923,4,0.10912214506689666,0.0564049184425266,5,0.10884567377088802,0.022800047725236344,2,0.11189942354453775,0.5919301991032972
3,realToReal,0.6679485368837569,0.0278288210977458,0.4524978466838932,0.19308597,0.2418091831107678,0.1176519066587982,0.0670154558355275,0.0307778891229672,0.1910972913613402,0.0913200031429278,0.03668337683518028,10,0.05491946581142717,0.0027749918650751574,7,0.09971647219004683,0.040941543975232836,9,0.09047898078470605,0.02138012955216943,3,0.11072855035593435,0.02585566485014121,6,0.10692590131408394,0.013221492308690417,1,0.11237805390637665,0.006365485405780176,8,0.09498533325510239,0.0033585492817292876,4,0.10912214506689666,0.020800113434016776,5,0.10884567377088802,0.010218655709778996,2,0.11189942354453775,0.18160000321779457
4,realToReal2,0.9999996957810108,0.047322717880233,0.4247146510632793,0.1890889,0.2351710455057671,0.1122954461336595,0.0600203359650582,0.0159287527483844,0.1642030172256714,0.1130245149101999,0.05491944910388279,10,0.05491946581142717,0.004718854481461685,7,0.09971647219004683,0.038427748752537585,9,0.09047898078470605,0.020937539785398234,3,0.11072855035593435,0.025145876003679596,6,0.10692590131408394,0.012619543699049001,1,0.11237805390637665,0.005701051613724261,8,0.09498533325510239,0.0017381796681439313,4,0.10912214506689666,0.017872788045140937,5,0.10884567377088802,0.01264737806485238,2,0.11189942354453775,0.1947284092178704
5,realToReal3,1.0,0.0121672364626187,0.4845392588210646,0.19072919,0.2440308462904593,0.1272132817083846,0.0050417068466284,0.0213620616533098,0.1679574066442635,0.0989052201066564,0.05491946581142717,10,0.05491946581142717,0.0012132738963544414,7,0.09971647219004683,0.043840618288306814,9,0.09047898078470605,0.02111916671926157,3,0.11072855035593435,0.02609321818804604,6,0.10692590131408394,0.014295981029431925,1,0.11237805390637665,0.00047888820500153,8,0.09498533325510239,0.0023310739906604624,4,0.10912214506689666,0.018281437091005888,5,0.10884567377088802,0.011067437115480475,2,0.11189942354453775,0.19364056033497629
1,gpt3Notes,0.0,0.1364159626157518,0.9506533178503802,0.32652348,0.8288872095349403,0.7507839233514259,0.9492618391061206,0.964472466598276,0.5004605067581293,0.2506586347137999,0.0,10,0.05491946581142717,0.013602918542452084,7,0.09971647219004683,0.0860141432787016,9,0.09047898078470605,0.03615547159757492,3,0.11072855035593435,0.08862951196723945,6,0.10692590131408394,0.08437163621042748,1,0.11237805390637665,0.09016595213384625,8,0.09498533325510239,0.10524530441316472,4,0.10912214506689666,0.05447296105380864,5,0.10884567377088802,0.028048556730935068,2,0.11189942354453775,0.5867064559281502
2,gpt4Notes,0.0,0.1744860239062874,0.9759969028261712,0.34534004,0.9161066391774794,0.7714471335103285,0.9606009483536312,0.986314534212231,0.5212359780617659,0.278960599130482,0.0,10,0.05491946581142717,0.01739913075040315,7,0.09971647219004683,0.08830720501674176,9,0.09047898078470605,0.038239002009060385,3,0.11072855035593435,0.09795552809386826,6,0.10692590131408394,0.08669372755554343,1,0.11237805390637665,0.09124300120453706,8,0.09498533325510239,0.10762875768389568,4,0.10912214506689666,0.05673428122576072,5,0.10884567377088802,0.031215530234339813,2,0.11189942354453775,0.6154161637741502
4,realToReal2,0.9999996957810108,0.047322717880233,0.4247146510632793,0.1890889,0.2351710455057671,0.1122954461336595,0.0600203359650582,0.0159287527483844,0.1642030172256714,0.1130245149101999,0.05491944910388279,10,0.05491946581142717,0.004718854481461685,7,0.09971647219004683,0.038427748752537585,9,0.09047898078470605,0.020937539785398234,3,0.11072855035593435,0.025145876003679596,6,0.10692590131408394,0.012619543699049001,1,0.11237805390637665,0.005701051613724261,8,0.09498533325510239,0.0017381796681439313,4,0.10912214506689666,0.017872788045140937,5,0.10884567377088802,0.01264737806485238,2,0.11189942354453775,0.1947284092178704
5,realToReal3,1.0,0.0121672364626187,0.4845392588210646,0.19072919,0.2440308462904593,0.1272132817083846,0.0050417068466284,0.0213620616533098,0.1679574066442635,0.0989052201066564,0.05491946581142717,10,0.05491946581142717,0.0012132738963544414,7,0.09971647219004683,0.043840618288306814,9,0.09047898078470605,0.02111916671926157,3,0.11072855035593435,0.02609321818804604,6,0.10692590131408394,0.014295981029431925,1,0.11237805390637665,0.00047888820500153,8,0.09498533325510239,0.0023310739906604624,4,0.10912214506689666,0.018281437091005888,5,0.10884567377088802,0.011067437115480475,2,0.11189942354453775,0.19364056033497629
