dataset,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
dementiaAudio,realToReal,1.0,0.012869264801694516,0.5028743028743029,0.22520985,0.2469632477004149,0.21559034446825656,0.06796286125115554,0.04256020675936245,0.1854679895884838,0.09200640053049597
dementiaAudio,realToReal2,1.0,0.01283466793441305,0.5174906964380649,0.22453368,0.24402638509019833,0.221586289759418,0.06101008209689285,0.052461941930692424,0.15649774041082956,0.08085069628201179
dementiaAudio,realToReal3,1.0,0.009172704949071223,0.556511121728513,0.22329098,0.24440036715909152,0.20476670041225045,0.0050417068466284505,0.037799802539514205,0.19309399828259874,0.10293852653704057
huffPostNews,LDA,0.9999999958419267,0.09484295319787665,0.9039942197836934,0.39816487,0.9321786692647995,0.2560342307933459,0.11373798634435654,0.668309132079925,0.40834078470326074,0.2613224065201535
huffPostNews,MATAVE,0.9999413067064461,0.07275093312574687,0.9332618600911283,0.39197266,0.9146289089338389,0.6858708201418052,0.06951814464270334,0.7151542332015275,0.5963669299850675,0.3331428273258805
huffPostNews,combinedTopicModel,1.0,0.07448127402004652,0.8899248899248899,0.39933643,0.9168910163082309,0.3501870788997208,0.09423471272479696,0.7088634050312755,0.45264578395592675,0.26355142013939464
huffPostNews,realToReal,1.0,0.012714766544244823,0.4858793324775353,0.39789328,0.8252481075155851,0.04710403738374443,0.05648496564261311,0.03570548762014366,0.15804178355307266,0.10875811479338963
huffPostNews,realToReal2,1.0,0.00862094548813023,0.5145954316686024,0.39751342,0.8169207875596959,0.03026048830381985,0.04207198482165497,0.04698874245901633,0.18264298809605206,0.09400186355084265
huffPostNews,realToReal3,1.0,0.01733846924030291,0.4292207483478343,0.39914465,0.8223691186050209,0.047401570885898726,0.05945425531627224,0.015850927189264397,0.15294575221955806,0.09509496611749152
clinc150,LDA,0.3333420390183714,0.0400098191085011,0.9058476863354912,0.37083665,0.90359656073795,0.3701091280881381,0.2677184591245308,0.856025474295539,0.2979098987569822,0.23093824604828517
clinc150,MATAVE,0.07818290211626067,0.09205638455032043,0.908058608058608,0.3657985,0.9189883961227627,0.48596283992920425,0.19219521372070883,0.8856536862118106,0.28782975931187055,0.20010811279687912
clinc150,combinedTopicModel,0.2151746019678199,0.025822198975306132,0.8587489928953344,0.36995614,0.9009215053398881,0.3939681439297327,0.21048687933886343,0.8501871809456866,0.30213281183216,0.21263569590343448
clinc150,realToReal,1.0,0.011899395752718922,0.5134176905678831,0.3448207,0.7052884574568958,0.04850021514372649,0.033356736449916546,0.03298138439591958,0.14949482154769425,0.09674670700423625
clinc150,realToReal2,1.0,0.014937300338792888,0.5697577276524645,0.33822587,0.7024888280093845,0.03174379844507661,0.026892528202620707,0.029132397349702632,0.15130534319425729,0.09021249695966416
clinc150,realToReal3,1.0,0.010114133689964907,0.5961013645224171,0.3463899,0.7131808568126838,0.05869961682227676,0.04330099794282619,0.036016916927117615,0.1663201210118185,0.07028603915693162
syntheticCareHomeNurseNotes,LDA,1.7763568394002505e-15,0.014839822004893755,0.9503960808838858,0.31325853,0.6757013158499361,0.6878130720832164,0.22237158118628997,0.7749400266492853,0.6819632704681359,0.24107863188588655
