model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
allTopicModels,0.0,0.18404390816447033,0.967032967032967,0.3140019,0.7593356242522701,0.6982509141003446,0.9328794459591186,0.9707040995149957,0.5108236054308806,0.2460502603254726
LDA,0.0,0.17212366393958978,0.9519938056523422,0.3065207,0.7262236729378321,0.6459941710477823,0.915668660364417,0.9737490734685578,0.5042912296213387,0.2621120288159647
MATAVE,0.0,0.19777419637157087,0.983739837398374,0.3338604,0.8377248677760085,0.7165169006258069,0.9419331333981839,0.9847967867155901,0.5182100168836725,0.20375482735316833
realToReal,0.6679485368837569,0.027828821097745832,0.4524978466838932,0.19308597,0.24180918311076782,0.11765190665879828,0.06701545583552752,0.030777889122967268,0.19109729136134024,0.09132000314292782
realToReal2,0.9999996957810108,0.047322717880233046,0.4247146510632793,0.1890889,0.23517104550576715,0.11229544613365956,0.06002033596505826,0.015928752748384494,0.1642030172256714,0.1130245149101999
realToReal3,1.0,0.01216723646261871,0.4845392588210646,0.19072919,0.24403084629045932,0.1272132817083846,0.0050417068466284505,0.021362061653309856,0.16795740664426353,0.09890522010665641
