dataset,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
processedFakeNoteSyntheticNotes,0.0,0.18684637341654997,0.9752032520325203,0.34598994,0.9099713098322378,0.7973291673028493,0.9595543249276258,0.9891452561064659,0.5549228257366862,0.2557049365896011
gpt3Notes,0.0,0.13641596261575184,0.9506533178503802,0.32652348,0.8288872095349403,0.7507839233514259,0.9492618391061206,0.9644724665982761,0.5004605067581293,0.25065863471379995
gpt4Notes,0.0,0.17448602390628742,0.9759969028261711,0.34534004,0.9161066391774794,0.7714471335103285,0.9606009483536312,0.986314534212231,0.5212359780617659,0.278960599130482
realToReal,0.6679485368837569,0.027828821097745832,0.4524978466838932,0.19308597,0.24180918311076782,0.11765190665879828,0.06701545583552752,0.030777889122967268,0.19109729136134024,0.09132000314292782
realToReal2,0.9999996957810108,0.047322717880233046,0.4247146510632793,0.1890889,0.23517104550576715,0.11229544613365956,0.06002033596505826,0.015928752748384494,0.1642030172256714,0.1130245149101999
realToReal3,1.0,0.01216723646261871,0.4845392588210646,0.19072919,0.24403084629045932,0.1272132817083846,0.0050417068466284505,0.021362061653309856,0.16795740664426353,0.09890522010665641
